year,name,gender,number
1993,"Abarna","f",1
1993,"Abetare","f",1
1993,"Abir","f",1
1993,"Abirami","f",1
1993,"Adelaide","f",1
1993,"Adelina","f",1
1993,"Adina","f",1
1993,"Admira","f",1
1993,"Adriana","f",1
1993,"Afsane","f",1
1993,"Aida","f",2
1993,"Aileen","f",1
1993,"Airê","f",1
1993,"Aisha","f",1
1993,"Ajantha","f",1
1993,"Ajanthan","f",1
1993,"Ajne","f",1
1993,"Alara","f",1
1993,"Alba","f",1
1993,"Albana","f",1
1993,"Albineta","f",1
1993,"Albulena","f",1
1993,"Aleksandra","f",4
1993,"Alena","f",2
1993,"Alessa","f",1
1993,"Alessandra","f",4
1993,"Alessia","f",2
1993,"Alexandra","f",10
1993,"Alice","f",7
1993,"Alicia","f",1
1993,"Alida","f",1
1993,"Alina","f",2
1993,"Aline","f",5
1993,"Alix","f",2
1993,"Almedina","f",2
1993,"Almira","f",1
1993,"Amanda","f",1
1993,"Ambra","f",1
1993,"Amelie","f",1
1993,"Amelita","f",1
1993,"Amina","f",2
1993,"Amna","f",1
1993,"Ana","f",4
1993,"Ana Maria","f",1
1993,"Anais","f",1
1993,"Anaîs","f",1
1993,"Anaïs","f",1
1993,"Andela","f",1
1993,"Andjela","f",1
1993,"Andrea","f",8
1993,"Andreia","f",1
1993,"Andriana","f",1
1993,"Andrijana","f",2
1993,"Andrina","f",1
1993,"Angel","f",1
1993,"Angela","f",6
1993,"Angelika","f",1
1993,"Anica","f",1
1993,"Anika","f",1
1993,"Anina","f",3
1993,"Anita","f",2
1993,"Anja","f",8
1993,"Anjushka","f",1
1993,"Anka","f",1
1993,"Ann Caroline","f",1
1993,"Anna","f",19
1993,"Anna Maria","f",2
1993,"Anna-Lena","f",1
1993,"Anna-Marina","f",1
1993,"Annabelle","f",1
1993,"Annalena","f",1
1993,"Anne","f",2
1993,"Anne-Joséphine","f",1
1993,"Anne-Sophie","f",1
1993,"Anneliese","f",1
1993,"Annette","f",1
1993,"Annika","f",2
1993,"Annikka","f",1
1993,"Annina","f",5
1993,"Anouk","f",1
1993,"Antea","f",1
1993,"Anthea","f",1
1993,"Antonija","f",1
1993,"Anuschija","f",1
1993,"Apila","f",1
1993,"Arabi","f",1
1993,"Ardiana","f",1
1993,"Ariana","f",1
1993,"Ariane","f",1
1993,"Arianna","f",3
1993,"Armanda","f",1
1993,"Arna","f",1
1993,"Asha","f",1
1993,"Assia","f",1
1993,"Asviga","f",1
1993,"Athéna","f",1
1993,"Audrey","f",1
1993,"Augusta","f",1
1993,"Aurelia","f",1
1993,"Aveline","f",1
1993,"Awa","f",1
1993,"Ayako","f",1
1993,"Ayça","f",1
1993,"Aydan","f",1
1993,"Aylin","f",3
1993,"Ayline","f",1
1993,"Ayse","f",1
1993,"Azar","f",1
1993,"Bahar","f",1
1993,"Barathy","f",1
1993,"Barbara","f",6
1993,"Barbra","f",1
1993,"Beatrice","f",1
1993,"Belinda","f",1
1993,"Berivan","f",1
1993,"Beronica","f",1
1993,"Berxwedan","f",1
1993,"Beryl","f",2
1993,"Besa","f",1
1993,"Besarta","f",1
1993,"Besiana","f",1
1993,"Bettina","f",1
1993,"Betül","f",1
1993,"Bianca","f",1
1993,"Bibiana","f",1
1993,"Binela","f",1
1993,"Birma","f",1
1993,"Blinera","f",1
1993,"Bogdanka","f",1
1993,"Bonali","f",1
1993,"Brenda","f",1
1993,"Brigenda","f",1
1993,"Bruria","f",1
1993,"Burcu","f",1
1993,"Cahntal","f",1
1993,"Caitlin","f",2
1993,"Camilla","f",1
1993,"Camille","f",4
1993,"Carla","f",3
1993,"Carmen","f",2
1993,"Carmit","f",1
1993,"Carole","f",1
1993,"Caroline","f",5
